S.No,Parliament Constituency,Constituency Name,State,Winning Candidate,Total Votes,Margin,Constituency ID,Party ID
205,RAIPUR(8),RAIPUR,Chhattisgarh,BRIJMOHAN AGRAWAL,1050351,575285,S268,369
2,RAJAHMUNDRY(8),RAJAHMUNDRY,Andhra Pradesh,DAGGUBATI PURANDHESHWARI,726515,239139,S018,369
4,RAJAMPET(24),RAJAMPET,Andhra Pradesh,P V MIDHUN REDDY,644844,76071,S0124,1888
99,RAJGARH(20),RAJGARH,Madhya Pradesh,RODMAL NAGAR,758743,146089,S1220,369
36,RAJKOT(10),RAJKOT,Gujarat,PARSHOTTAMBHAI RUPALA,857984,484260,S0610,369
1,RAJMAHAL(1),RAJMAHAL,Jharkhand,VIJAY KUMAR HANSDAK,613371,178264,S271,852
203,RAJNANDGAON(6),RAJNANDGAON,Chhattisgarh,SANTOSH PANDEY,712057,44411,S266,369
148,RAJSAMAND(22),RAJSAMAND,Rajasthan,MAHIMA KUMARI MEWAR,781203,392223,S2022,369
3,RAMANATHAPURAM(35),RAMANATHAPURAM,Tamil Nadu,NAVASKANI K,509664,166782,S2235,772
4,RAMPUR(7),RAMPUR,Uttar Pradesh,MOHIBBULLAH,481503,87434,S247,1680
40,RAMTEK(9),RAMTEK,Maharashtra,Shyamkumar (Babalu) Daulat Barve,613025,76768,S139,742
193,RANAGHAT(13),RANAGHAT,West Bengal,JAGANNATH SARKAR,782396,186899,S2513,369
213,RANCHI(8),RANCHI,Jharkhand,SANJAY SETH,664732,120512,S278,369
103,RATLAM(24),RATLAM,Madhya Pradesh,ANITA NAGARSINGH CHOUHAN,795863,207232,S1224,369
117,RATNAGIRI-SINDHUDURG(46),RATNAGIRI-SINDHUDURG,Maharashtra,NARAYAN TATU RANE,448514,47858,S1346,369
110,RAVER(4),RAVER,Maharashtra,KHADSE RAKSHA NIKHIL,630879,272183,S134,369
89,REWA(10),REWA,Madhya Pradesh,JANARDAN MISHRA,477459,193374,S1210,369
37,ROBERTSGANJ(80),ROBERTSGANJ,Uttar Pradesh,CHHOTELAL,465848,129234,S2480,1680
13,ROHTAK(7),ROHTAK,Haryana,DEEPENDER SINGH HOODA,783578,345298,S077,742
31,SABARKANTHA(5),SABARKANTHA,Gujarat,SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682,S065,369
84,SAGAR(5),SAGAR,Madhya Pradesh,DR. LATA WANKHEDE,787979,471222,S125,369
79,SAHARANPUR(1),SAHARANPUR,Uttar Pradesh,IMRAN MASOOD,547967,64542,S241,742
12,SALEM(15),SALEM,Tamil Nadu,SELVAGANAPATHI T M,566085,70357,S2215,582
31,SALEMPUR(71),SALEMPUR,Uttar Pradesh,RAMASHANKAR RAJBHAR,405472,3573,S2471,1680
3,SAMASTIPUR(23),SAMASTIPUR,Bihar,SHAMBHAVI,579786,187251,S0423,3165
